step 0: train loss 3.5875, val loss 3.5876
iter 14800: loss 0.3779, time 467.20ms, mfu 27.38%
iter 14850: loss 0.3705, time 457.84ms, mfu 27.41%
iter 14900: loss 0.3680, time 456.41ms, mfu 27.45%
iter 14950: loss 0.3690, time 459.44ms, mfu 27.46%
iter 15000: loss 0.3641, time 453.37ms, mfu 27.51%
iter 15050: loss 0.3616, time 455.27ms, mfu 27.54%
iter 15100: loss 0.3625, time 466.68ms, mfu 27.51%
iter 15150: loss 0.3712, time 454.12ms, mfu 27.55%
iter 15200: loss 0.3770, time 461.48ms, mfu 27.54%
iter 15250: loss 0.3753, time 458.07ms, mfu 27.55%
iter 15300: loss 0.3727, time 461.90ms, mfu 27.54%
iter 15350: loss 0.3641, time 457.71ms, mfu 27.56%
iter 15400: loss 0.3658, time 465.68ms, mfu 27.53%
iter 15450: loss 0.3747, time 457.64ms, mfu 27.54%
iter 15500: loss 0.3721, time 461.10ms, mfu 27.54%
iter 15550: loss 0.3717, time 457.96ms, mfu 27.55%
iter 15600: loss 0.3732, time 480.37ms, mfu 27.44%
iter 15650: loss 0.3597, time 474.64ms, mfu 27.36%
iter 15700: loss 0.3682, time 458.72ms, mfu 27.39%
iter 15750: loss 0.3702, time 460.83ms, mfu 27.40%
iter 15800: loss 0.3540, time 460.64ms, mfu 27.41%
iter 15850: loss 0.3695, time 460.87ms, mfu 27.42%
iter 15900: loss 0.3644, time 461.01ms, mfu 27.43%
iter 15950: loss 0.3673, time 469.15ms, mfu 27.39%
step 16000: train loss 0.3666, val loss 0.3669
saving checkpoint to out-stockfish
iter 16000: loss 0.3723, time 10875.03ms, mfu 24.77%
iter 16050: loss 0.3685, time 472.06ms, mfu 24.98%
iter 16100: loss 0.3626, time 471.24ms, mfu 25.17%
iter 16150: loss 0.3683, time 460.71ms, mfu 25.40%
iter 16200: loss 0.3638, time 473.29ms, mfu 25.54%
iter 16250: loss 0.3655, time 464.84ms, mfu 25.72%
iter 16300: loss 0.3578, time 466.39ms, mfu 25.86%
iter 16350: loss 0.3631, time 471.20ms, mfu 25.97%
iter 16400: loss 0.3665, time 463.82ms, mfu 26.10%
iter 16450: loss 0.3656, time 461.01ms, mfu 26.24%
iter 16500: loss 0.3590, time 465.95ms, mfu 26.34%
iter 16550: loss 0.3770, time 463.22ms, mfu 26.44%
iter 16600: loss 0.3691, time 461.38ms, mfu 26.55%
iter 16650: loss 0.3587, time 464.74ms, mfu 26.62%
iter 16700: loss 0.3605, time 463.80ms, mfu 26.69%
iter 16750: loss 0.3661, time 463.41ms, mfu 26.76%
iter 16800: loss 0.3623, time 466.68ms, mfu 26.80%
iter 16850: loss 0.3575, time 463.66ms, mfu 26.85%
iter 16900: loss 0.3554, time 466.60ms, mfu 26.88%
iter 16950: loss 0.3663, time 471.97ms, mfu 26.88%
iter 17000: loss 0.3805, time 470.22ms, mfu 26.89%
iter 17050: loss 0.3629, time 460.27ms, mfu 26.96%
iter 17100: loss 0.3598, time 463.00ms, mfu 27.00%
iter 17150: loss 0.3542, time 466.29ms, mfu 27.02%
iter 17200: loss 0.3575, time 465.74ms, mfu 27.04%
iter 17250: loss 0.3660, time 463.48ms, mfu 27.07%
iter 17300: loss 0.3463, time 466.96ms, mfu 27.08%
iter 17350: loss 0.3673, time 464.29ms, mfu 27.10%
iter 17400: loss 0.3633, time 473.70ms, mfu 27.07%
iter 17450: loss 0.3576, time 468.58ms, mfu 27.06%
