step 0: train loss 3.7095, val loss 3.7091
iter 16700: loss 0.4691, time 104.64ms, mfu 26.00%
iter 16750: loss 0.4745, time 105.06ms, mfu 26.05%
iter 16800: loss 0.4902, time 101.79ms, mfu 26.17%
iter 16850: loss 0.4991, time 101.71ms, mfu 26.28%
iter 16900: loss 0.4767, time 101.84ms, mfu 26.38%
iter 16950: loss 0.4630, time 101.81ms, mfu 26.47%
iter 17000: loss 0.4859, time 101.84ms, mfu 26.55%
iter 17050: loss 0.4713, time 105.37ms, mfu 26.53%
iter 17100: loss 0.5100, time 101.77ms, mfu 26.61%
iter 17150: loss 0.4803, time 101.81ms, mfu 26.68%
iter 17200: loss 0.4719, time 101.84ms, mfu 26.74%
iter 17250: loss 0.4640, time 105.29ms, mfu 26.70%
iter 17300: loss 0.4867, time 105.13ms, mfu 26.67%
iter 17350: loss 0.4695, time 105.66ms, mfu 26.63%
iter 17400: loss 0.4760, time 101.85ms, mfu 26.70%
iter 17450: loss 0.4681, time 101.79ms, mfu 26.76%
iter 17500: loss 0.4838, time 101.80ms, mfu 26.81%
iter 17550: loss 0.4924, time 101.83ms, mfu 26.86%
iter 17600: loss 0.4918, time 104.75ms, mfu 26.82%
iter 17650: loss 0.4934, time 101.83ms, mfu 26.87%
iter 17700: loss 0.4834, time 105.03ms, mfu 26.83%
iter 17750: loss 0.4840, time 104.80ms, mfu 26.79%
iter 17800: loss 0.4840, time 105.42ms, mfu 26.75%
iter 17850: loss 0.4902, time 106.20ms, mfu 26.69%
iter 17900: loss 0.4797, time 101.79ms, mfu 26.75%
iter 17950: loss 0.5057, time 105.23ms, mfu 26.71%
iter 18000: loss 0.4708, time 105.23ms, mfu 26.68%
iter 18050: loss 0.4716, time 105.10ms, mfu 26.66%
iter 18100: loss 0.4666, time 105.92ms, mfu 26.61%
iter 18150: loss 0.4942, time 105.39ms, mfu 26.59%
iter 18200: loss 0.4834, time 105.44ms, mfu 26.56%
iter 18250: loss 0.4886, time 105.69ms, mfu 26.53%
iter 18300: loss 0.4819, time 104.21ms, mfu 26.55%
iter 18350: loss 0.4647, time 105.32ms, mfu 26.53%
iter 18400: loss 0.4872, time 105.16ms, mfu 26.52%
iter 18450: loss 0.5160, time 105.44ms, mfu 26.50%
iter 18500: loss 0.4848, time 106.04ms, mfu 26.47%
iter 18550: loss 0.4837, time 105.17ms, mfu 26.46%
iter 18600: loss 0.4826, time 105.33ms, mfu 26.45%
iter 18650: loss 0.5026, time 105.73ms, mfu 26.44%
iter 18700: loss 0.5118, time 106.13ms, mfu 26.41%
iter 18750: loss 0.4917, time 105.73ms, mfu 26.40%
iter 18800: loss 0.5126, time 101.79ms, mfu 26.49%
iter 18850: loss 0.4960, time 105.58ms, mfu 26.47%
iter 18900: loss 0.5087, time 101.78ms, mfu 26.55%
iter 18950: loss 0.4654, time 101.77ms, mfu 26.62%
iter 19000: loss 0.4707, time 101.77ms, mfu 26.69%
iter 19050: loss 0.4965, time 101.80ms, mfu 26.75%
iter 19100: loss 0.4603, time 101.79ms, mfu 26.80%
iter 19150: loss 0.4625, time 101.79ms, mfu 26.85%
iter 19200: loss 0.5044, time 101.83ms, mfu 26.89%
iter 19250: loss 0.4811, time 104.93ms, mfu 26.85%
iter 19300: loss 0.4904, time 105.05ms, mfu 26.81%
iter 19350: loss 0.4532, time 101.76ms, mfu 26.86%
iter 19400: loss 0.4747, time 102.26ms, mfu 26.89%
iter 19450: loss 0.4655, time 101.79ms, mfu 26.93%
iter 19500: loss 0.4617, time 224.24ms, mfu 25.48%
iter 19550: loss 0.4923, time 225.64ms, mfu 24.16%
iter 19600: loss 0.5002, time 219.14ms, mfu 23.01%
iter 19650: loss 0.4828, time 223.12ms, mfu 21.95%
iter 19700: loss 0.4686, time 226.64ms, mfu 20.98%
iter 19750: loss 0.4615, time 226.27ms, mfu 20.11%
iter 19800: loss 0.4757, time 225.48ms, mfu 19.33%
iter 19850: loss 0.4816, time 226.38ms, mfu 18.63%
iter 19900: loss 0.4716, time 226.61ms, mfu 17.99%
iter 19950: loss 0.4884, time 225.83ms, mfu 17.42%
step 20000: train loss 0.4781, val loss 0.4755
saving checkpoint to out-stockfish
iter 20000: loss 0.4733, time 2552.28ms, mfu 15.79%
iter 20050: loss 0.4726, time 104.99ms, mfu 16.85%
iter 20100: loss 0.4792, time 106.24ms, mfu 17.78%
iter 20150: loss 0.4634, time 103.64ms, mfu 18.69%
iter 20200: loss 0.4656, time 102.07ms, mfu 19.54%
iter 20250: loss 0.4596, time 105.70ms, mfu 20.21%
iter 20300: loss 0.4740, time 106.60ms, mfu 20.80%
iter 20350: loss 0.4951, time 103.92ms, mfu 21.39%
