step 0: train loss 3.5803, val loss 3.5800
iter 14250: loss 0.3995, time 227.48ms, mfu 27.75%
iter 14300: loss 0.4004, time 227.57ms, mfu 27.76%
iter 14350: loss 0.4081, time 227.49ms, mfu 27.77%
iter 14400: loss 0.4014, time 229.69ms, mfu 27.76%
iter 14450: loss 0.3970, time 231.22ms, mfu 27.72%
iter 14500: loss 0.3962, time 229.96ms, mfu 27.71%
iter 14550: loss 0.4077, time 231.24ms, mfu 27.68%
iter 14600: loss 0.3990, time 227.60ms, mfu 27.70%
iter 14650: loss 0.3952, time 227.55ms, mfu 27.71%
iter 14700: loss 0.3939, time 227.51ms, mfu 27.73%
iter 14750: loss 0.3956, time 230.36ms, mfu 27.71%
iter 14800: loss 0.3931, time 227.56ms, mfu 27.72%
iter 14850: loss 0.3986, time 227.94ms, mfu 27.73%
iter 14900: loss 0.3898, time 227.53ms, mfu 27.75%
iter 14950: loss 0.3905, time 227.57ms, mfu 27.76%
iter 15000: loss 0.3959, time 227.54ms, mfu 27.77%
iter 15050: loss 0.3843, time 227.47ms, mfu 27.78%
iter 15100: loss 0.3998, time 227.52ms, mfu 27.79%
iter 15150: loss 0.3952, time 228.04ms, mfu 27.79%
iter 15200: loss 0.3967, time 227.44ms, mfu 27.80%
iter 15250: loss 0.3957, time 227.51ms, mfu 27.81%
iter 15300: loss 0.3974, time 227.52ms, mfu 27.81%
iter 15350: loss 0.3888, time 227.45ms, mfu 27.82%
iter 15400: loss 0.4002, time 227.41ms, mfu 27.82%
iter 15450: loss 0.3961, time 227.49ms, mfu 27.83%
iter 15500: loss 0.3969, time 227.49ms, mfu 27.83%
iter 15550: loss 0.3863, time 227.71ms, mfu 27.83%
iter 15600: loss 0.3831, time 227.46ms, mfu 27.84%
iter 15650: loss 0.3900, time 227.49ms, mfu 27.84%
iter 15700: loss 0.3851, time 227.50ms, mfu 27.84%
iter 15750: loss 0.4028, time 227.52ms, mfu 27.85%
iter 15800: loss 0.3751, time 227.46ms, mfu 27.85%
iter 15850: loss 0.3917, time 227.58ms, mfu 27.85%
iter 15900: loss 0.3958, time 227.52ms, mfu 27.85%
iter 15950: loss 0.3811, time 227.52ms, mfu 27.85%
step 16000: train loss 0.3930, val loss 0.3934
saving checkpoint to out-stockfish
iter 16000: loss 0.3909, time 5467.00ms, mfu 25.18%
iter 16050: loss 0.3818, time 227.83ms, mfu 25.45%
iter 16100: loss 0.3847, time 227.46ms, mfu 25.69%
iter 16150: loss 0.3822, time 227.56ms, mfu 25.91%
iter 16200: loss 0.3965, time 227.43ms, mfu 26.11%
iter 16250: loss 0.3918, time 227.45ms, mfu 26.28%
iter 16300: loss 0.3912, time 227.49ms, mfu 26.44%
iter 16350: loss 0.3943, time 227.56ms, mfu 26.58%
iter 16400: loss 0.3838, time 227.44ms, mfu 26.71%
